States,Population
Andaman & Nicobar Islands ,"399,001"
Andhra Pradesh ,"91,702,478"
Arunachal Pradesh ,"1,711,947"
Assam,"35,998,752"
Bihar ,"128,500,364"
Chandigarh,"1,158,040"
Chhattisgarh,"32,199,722"
Dadra and Nagar Haveli,"453,008"
Daman and Diu ,"320,989"
Delhi,"19,301,096"
Goa,"1,521,992"
Gujarat,"70,400,153"
Haryana,"28,900,667"
Himachal Pradesh,"7,503,010"
Jammu and Kashmir ,"14,999,397"
Jharkhand,"40,100,376"
Karnataka,"69,599,762"
Kerala,"34,698,876"
Lakshadweep,"66,001"
Madhya Pradesh,"85,002,417"
Maharashtra,"124,904,071"
Manipur,"3,436,948"
Meghalaya,"3,772,103"
Mizoram,"1,308,967"
Nagaland,"2,073,074"
Orissa,"47,099,270"
Puducherry,"1,646,050"
Punjab,"30,501,026"
Rajasthan,"79,502,477"
Sikkim,"658,019"
Tamil Nadu,"83,697,770"
Telangana,"38,157,311"
Tripura,"4,184,959"
Uttar Pradesh,"231,502,578"
Uttarakhand,"11,700,099"
West Bengal ,"100,896,618"
